date,query
2004-01-10,40
2004-01-17,52
2004-01-24,30
2004-01-31,35
2004-02-07,42
2004-02-14,36
2004-02-21,31
2004-02-28,46
2004-03-06,60
2004-03-13,79
2004-03-20,43
2004-03-27,35
2004-04-03,35
2004-04-10,26
2004-04-17,25
2004-04-24,25
2004-05-01,42
2004-05-08,35
2004-05-15,28
2004-05-22,46
2004-05-29,29
2004-06-05,30
2004-06-12,30
2004-06-19,25
2004-06-26,25
2004-07-03,25
2004-07-10,25
2004-07-17,0
2004-07-24,0
2004-07-31,0
2004-08-07,0
2004-08-14,0
2004-08-21,24
2004-08-28,22
2004-09-04,22
2004-09-11,22
2004-09-18,27
2004-09-25,31
2004-10-02,25
2004-10-09,47
2004-10-16,35
2004-10-23,35
2004-10-30,36
2004-11-06,49
2004-11-13,36
2004-11-20,38
2004-11-27,46
2004-12-04,38
2004-12-11,52
2004-12-18,40
2004-12-25,25
2005-01-01,20
2005-01-08,20
2005-01-15,30
2005-01-22,33
2005-01-29,25
2005-02-05,20
2005-02-12,24
2005-02-19,23
2005-02-26,27
2005-03-05,27
2005-03-12,36
2005-03-19,34
2005-03-26,22
2005-04-02,24
2005-04-09,26
2005-04-16,28
2005-04-23,47
2005-04-30,38
2005-05-07,18
2005-05-14,22
2005-05-21,17
2005-05-28,27
2005-06-04,20
2005-06-11,22
2005-06-18,25
2005-06-25,31
2005-07-02,16
2005-07-09,16
2005-07-16,16
2005-07-23,16
2005-07-30,0
2005-08-06,0
2005-08-13,0
2005-08-20,0
2005-08-27,0
2005-09-03,30
2005-09-10,18
2005-09-17,29
2005-09-24,42
2005-10-01,27
2005-10-08,25
2005-10-15,30
2005-10-22,26
2005-10-29,36
2005-11-05,27
2005-11-12,27
2005-11-19,27
2005-11-26,39
2005-12-03,31
2005-12-10,42
2005-12-17,33
2005-12-24,21
2005-12-31,22
2006-01-07,23
2006-01-14,36
2006-01-21,27
2006-01-28,35
2006-02-04,25
2006-02-11,23
2006-02-18,24
2006-02-25,30
2006-03-04,13
2006-03-11,34
2006-03-18,31
2006-03-25,38
2006-04-01,24
2006-04-08,19
2006-04-15,20
2006-04-22,20
2006-04-29,26
2006-05-06,25
2006-05-13,21
2006-05-20,25
2006-05-27,22
2006-06-03,24
2006-06-10,24
2006-06-17,20
2006-06-24,21
2006-07-01,14
2006-07-08,14
2006-07-15,10
2006-07-22,13
2006-07-29,14
2006-08-05,16
2006-08-12,17
2006-08-19,19
2006-08-26,18
2006-09-02,20
2006-09-09,31
2006-09-16,28
2006-09-23,23
2006-09-30,28
2006-10-07,20
2006-10-14,27
2006-10-21,27
2006-10-28,28
2006-11-04,26
2006-11-11,42
2006-11-18,34
2006-11-25,21
2006-12-02,37
2006-12-09,30
2006-12-16,33
2006-12-23,23
2006-12-30,10
2007-01-06,14
2007-01-13,28
2007-01-20,29
2007-01-27,25
2007-02-03,26
2007-02-10,29
2007-02-17,35
2007-02-24,23
2007-03-03,33
2007-03-10,23
2007-03-17,26
2007-03-24,28
2007-03-31,22
2007-04-07,14
2007-04-14,24
2007-04-21,27
2007-04-28,29
2007-05-05,28
2007-05-12,26
2007-05-19,19
2007-05-26,26
2007-06-02,16
2007-06-09,28
2007-06-16,28
2007-06-23,24
2007-06-30,22
2007-07-07,13
2007-07-14,13
2007-07-21,8
2007-07-28,6
2007-08-04,12
2007-08-11,12
2007-08-18,15
2007-08-25,18
2007-09-01,20
2007-09-08,18
2007-09-15,32
2007-09-22,32
2007-09-29,25
2007-10-06,30
2007-10-13,30
2007-10-20,24
2007-10-27,25
2007-11-03,19
2007-11-10,36
2007-11-17,31
2007-11-24,27
2007-12-01,29
2007-12-08,36
2007-12-15,33
2007-12-22,15
2007-12-29,12
2008-01-05,17
2008-01-12,20
2008-01-19,35
2008-01-26,27
2008-02-02,24
2008-02-09,20
2008-02-16,23
2008-02-23,24
2008-03-01,23
2008-03-08,29
2008-03-15,24
2008-03-22,15
2008-03-29,17
2008-04-05,26
2008-04-12,26
2008-04-19,30
2008-04-26,24
2008-05-03,24
2008-05-10,23
2008-05-17,15
2008-05-24,21
2008-05-31,17
2008-06-07,24
2008-06-14,18
2008-06-21,15
2008-06-28,12
2008-07-05,25
2008-07-12,17
2008-07-19,11
2008-07-26,11
2008-08-02,11
2008-08-09,13
2008-08-16,24
2008-08-23,21
2008-08-30,20
2008-09-06,28
2008-09-13,25
2008-09-20,28
2008-09-27,26
2008-10-04,19
2008-10-11,32
2008-10-18,35
2008-10-25,36
2008-11-01,36
2008-11-08,40
2008-11-15,42
2008-11-22,36
2008-11-29,47
2008-12-06,50
2008-12-13,50
2008-12-20,38
2008-12-27,17
2009-01-03,15
2009-01-10,30
2009-01-17,100
2009-01-24,57
2009-01-31,54
2009-02-07,41
2009-02-14,46
2009-02-21,48
2009-02-28,38
2009-03-07,44
2009-03-14,44
2009-03-21,40
2009-03-28,47
2009-04-04,43
2009-04-11,28
2009-04-18,26
2009-04-25,41
2009-05-02,46
2009-05-09,38
2009-05-16,30
2009-05-23,24
2009-05-30,25
2009-06-06,25
2009-06-13,16
2009-06-20,25
2009-06-27,20
2009-07-04,14
2009-07-11,17
2009-07-18,13
2009-07-25,11
2009-08-01,9
2009-08-08,10
2009-08-15,13
2009-08-22,13
2009-08-29,20
2009-09-05,23
2009-09-12,20
2009-09-19,32
2009-09-26,25
