date,query
2004-01-10,96
2004-01-17,100
2004-01-24,87
2004-01-31,93
2004-02-07,90
2004-02-14,85
2004-02-21,86
2004-02-28,95
2004-03-06,95
2004-03-13,91
2004-03-20,85
2004-03-27,93
2004-04-03,79
2004-04-10,75
2004-04-17,93
2004-04-24,84
2004-05-01,91
2004-05-08,85
2004-05-15,85
2004-05-22,84
2004-05-29,85
2004-06-05,74
2004-06-12,80
2004-06-19,71
2004-06-26,88
2004-07-03,67
2004-07-10,62
2004-07-17,65
2004-07-24,61
2004-07-31,57
2004-08-07,56
2004-08-14,62
2004-08-21,73
2004-08-28,72
2004-09-04,74
2004-09-11,83
2004-09-18,83
2004-09-25,88
2004-10-02,80
2004-10-09,84
2004-10-16,78
2004-10-23,80
2004-10-30,82
2004-11-06,87
2004-11-13,87
2004-11-20,98
2004-11-27,91
2004-12-04,83
2004-12-11,95
2004-12-18,84
2004-12-25,65
2005-01-01,71
2005-01-08,73
2005-01-15,85
2005-01-22,80
2005-01-29,76
2005-02-05,73
2005-02-12,75
2005-02-19,78
2005-02-26,85
2005-03-05,86
2005-03-12,76
2005-03-19,80
2005-03-26,71
2005-04-02,71
2005-04-09,81
2005-04-16,87
2005-04-23,77
2005-04-30,78
2005-05-07,72
2005-05-14,78
2005-05-21,69
2005-05-28,65
2005-06-04,72
2005-06-11,68
2005-06-18,73
2005-06-25,60
2005-07-02,65
2005-07-09,67
2005-07-16,56
2005-07-23,60
2005-07-30,59
2005-08-06,58
2005-08-13,61
2005-08-20,60
2005-08-27,64
2005-09-03,69
2005-09-10,70
2005-09-17,69
2005-09-24,67
2005-10-01,68
2005-10-08,72
2005-10-15,70
2005-10-22,70
2005-10-29,76
2005-11-05,79
2005-11-12,81
2005-11-19,78
2005-11-26,78
2005-12-03,73
2005-12-10,71
2005-12-17,71
2005-12-24,66
2005-12-31,54
2006-01-07,58
2006-01-14,71
2006-01-21,75
2006-01-28,71
2006-02-04,68
2006-02-11,66
2006-02-18,73
2006-02-25,73
2006-03-04,70
2006-03-11,68
2006-03-18,70
2006-03-25,78
2006-04-01,70
2006-04-08,65
2006-04-15,60
2006-04-22,63
2006-04-29,63
2006-05-06,71
2006-05-13,66
2006-05-20,64
2006-05-27,62
2006-06-03,67
2006-06-10,58
2006-06-17,59
2006-06-24,63
2006-07-01,54
2006-07-08,55
2006-07-15,49
2006-07-22,50
2006-07-29,48
2006-08-05,48
2006-08-12,52
2006-08-19,56
2006-08-26,58
2006-09-02,62
2006-09-09,65
2006-09-16,59
2006-09-23,66
2006-09-30,59
2006-10-07,59
2006-10-14,59
2006-10-21,62
2006-10-28,62
2006-11-04,61
2006-11-11,70
2006-11-18,69
2006-11-25,62
2006-12-02,65
2006-12-09,69
2006-12-16,66
2006-12-23,53
2006-12-30,49
2007-01-06,57
2007-01-13,68
2007-01-20,59
2007-01-27,59
2007-02-03,61
2007-02-10,60
2007-02-17,60
2007-02-24,66
2007-03-03,65
2007-03-10,64
2007-03-17,61
2007-03-24,66
2007-03-31,60
2007-04-07,51
2007-04-14,55
2007-04-21,59
2007-04-28,63
2007-05-05,60
2007-05-12,69
2007-05-19,64
2007-05-26,56
2007-06-02,57
2007-06-09,57
