date,query
2004-01-10,0
2004-01-17,5
2004-01-24,0
2004-01-31,0
2004-02-07,0
2004-02-14,0
2004-02-21,0
2004-02-28,5
2004-03-06,6
2004-03-13,6
2004-03-20,6
2004-03-27,0
2004-04-03,0
2004-04-10,0
2004-04-17,0
2004-04-24,0
2004-05-01,0
2004-05-08,5
2004-05-15,5
2004-05-22,6
2004-05-29,6
2004-06-05,0
2004-06-12,0
2004-06-19,0
2004-06-26,0
2004-07-03,0
2004-07-10,0
2004-07-17,0
2004-07-24,0
2004-07-31,0
2004-08-07,0
2004-08-14,0
2004-08-21,0
2004-08-28,0
2004-09-04,0
2004-09-11,0
2004-09-18,6
2004-09-25,0
2004-10-02,0
2004-10-09,0
2004-10-16,0
2004-10-23,0
2004-10-30,0
2004-11-06,0
2004-11-13,0
2004-11-20,5
2004-11-27,5
2004-12-04,5
2004-12-11,5
2004-12-18,5
2004-12-25,7
2005-01-01,6
2005-01-08,6
2005-01-15,5
2005-01-22,5
2005-01-29,4
2005-02-05,4
2005-02-12,4
2005-02-19,4
2005-02-26,4
2005-03-05,4
2005-03-12,5
2005-03-19,5
2005-03-26,6
2005-04-02,6
2005-04-09,7
2005-04-16,7
2005-04-23,5
2005-04-30,4
2005-05-07,4
2005-05-14,6
2005-05-21,4
2005-05-28,4
2005-06-04,4
2005-06-11,4
2005-06-18,3
2005-06-25,0
2005-07-02,0
2005-07-09,0
2005-07-16,0
2005-07-23,0
2005-07-30,0
2005-08-06,4
2005-08-13,3
2005-08-20,3
2005-08-27,3
2005-09-03,3
2005-09-10,4
2005-09-17,4
2005-09-24,4
2005-10-01,4
2005-10-08,4
2005-10-15,4
2005-10-22,4
2005-10-29,4
2005-11-05,3
2005-11-12,4
2005-11-19,3
2005-11-26,3
2005-12-03,4
2005-12-10,4
2005-12-17,4
2005-12-24,4
2005-12-31,3
2006-01-07,3
2006-01-14,3
2006-01-21,5
2006-01-28,6
2006-02-04,3
2006-02-11,4
2006-02-18,3
2006-02-25,4
2006-03-04,5
2006-03-11,4
2006-03-18,5
2006-03-25,5
2006-04-01,3
2006-04-08,3
2006-04-15,3
2006-04-22,4
2006-04-29,4
2006-05-06,5
2006-05-13,4
2006-05-20,3
2006-05-27,3
2006-06-03,3
2006-06-10,3
2006-06-17,2
2006-06-24,2
2006-07-01,2
2006-07-08,4
2006-07-15,3
2006-07-22,3
2006-07-29,3
2006-08-05,3
2006-08-12,3
2006-08-19,3
2006-08-26,3
2006-09-02,3
2006-09-09,4
2006-09-16,2
2006-09-23,3
2006-09-30,3
2006-10-07,3
2006-10-14,3
2006-10-21,2
2006-10-28,3
2006-11-04,4
2006-11-11,2
2006-11-18,3
2006-11-25,4
2006-12-02,5
2006-12-09,3
2006-12-16,4
2006-12-23,5
2006-12-30,2
2007-01-06,2
2007-01-13,2
2007-01-20,4
2007-01-27,4
2007-02-03,3
2007-02-10,3
2007-02-17,4
2007-02-24,4
2007-03-03,3
2007-03-10,4
2007-03-17,6
2007-03-24,3
2007-03-31,3
2007-04-07,3
2007-04-14,2
2007-04-21,4
2007-04-28,3
2007-05-05,3
2007-05-12,4
2007-05-19,2
2007-05-26,3
2007-06-02,3
2007-06-09,2
2007-06-16,3
2007-06-23,2
2007-06-30,3
2007-07-07,3
2007-07-14,4
2007-07-21,2
2007-07-28,3
2007-08-04,2
2007-08-11,2
2007-08-18,2
2007-08-25,3
2007-09-01,3
2007-09-08,3
2007-09-15,4
2007-09-22,4
2007-09-29,3
2007-10-06,3
2007-10-13,3
2007-10-20,3
2007-10-27,4
2007-11-03,4
2007-11-10,4
2007-11-17,3
2007-11-24,7
2007-12-01,5
2007-12-08,4
2007-12-15,11
2007-12-22,4
2007-12-29,3
2008-01-05,4
2008-01-12,10
2008-01-19,19
2008-01-26,53
2008-02-02,13
2008-02-09,7
2008-02-16,7
2008-02-23,5
2008-03-01,5
2008-03-08,8
2008-03-15,5
2008-03-22,10
2008-03-29,5
2008-04-05,9
2008-04-12,5
2008-04-19,5
2008-04-26,6
2008-05-03,4
2008-05-10,6
2008-05-17,3
2008-05-24,5
2008-05-31,4
2008-06-07,5
2008-06-14,7
2008-06-21,3
2008-06-28,3
2008-07-05,5
2008-07-12,4
2008-07-19,6
2008-07-26,4
2008-08-02,4
2008-08-09,7
2008-08-16,6
2008-08-23,5
2008-08-30,6
2008-09-06,5
2008-09-13,8
2008-09-20,6
2008-09-27,10
2008-10-04,20
2008-10-11,44
2008-10-18,100
2008-10-25,41
2008-11-01,34
2008-11-08,28
2008-11-15,65
2008-11-22,34
2008-11-29,27
2008-12-06,23
2008-12-13,29
2008-12-20,18
2008-12-27,10
2009-01-03,8
2009-01-10,11
2009-01-17,11
2009-01-24,11
2009-01-31,12
2009-02-07,11
2009-02-14,12
2009-02-21,11
2009-02-28,9
2009-03-07,10
2009-03-14,13
2009-03-21,10
2009-03-28,9
2009-04-04,8
2009-04-11,5
2009-04-18,6
2009-04-25,10
2009-05-02,9
2009-05-09,7
2009-05-16,6
2009-05-23,7
2009-05-30,6
2009-06-06,5
2009-06-13,5
2009-06-20,7
2009-06-27,6
2009-07-04,4
2009-07-11,5
2009-07-18,4
2009-07-25,3
2009-08-01,3
2009-08-08,2
2009-08-15,4
2009-08-22,5
2009-08-29,4
2009-09-05,4
2009-09-12,4
2009-09-19,4
2009-09-26,4
2009-10-03,4
2009-10-10,4
2009-10-17,4
2009-10-24,4
2009-10-31,5
2009-11-07,4
2009-11-14,4
2009-11-21,5
2009-11-28,6
2009-12-05,4
2009-12-12,6
2009-12-19,5
2009-12-26,3
2010-01-02,3
2010-01-09,4
2010-01-16,5
2010-01-23,5
2010-01-30,3
2010-02-06,4
2010-02-13,3
2010-02-20,3
2010-02-27,4
2010-03-06,4
2010-03-13,4
2010-03-20,3
2010-03-27,3
2010-04-03,2
2010-04-10,3
2010-04-17,4
2010-04-24,4
2010-05-01,3
2010-05-08,5
2010-05-15,3
2010-05-22,4
2010-05-29,4
2010-06-05,4
2010-06-12,4
2010-06-19,3
2010-06-26,3
2010-07-03,2
2010-07-10,2
2010-07-17,3
2010-07-24,4
2010-07-31,2
2010-08-07,2
2010-08-14,2
2010-08-21,2
2010-08-28,4
2010-09-04,3
2010-09-11,3
2010-09-18,3
2010-09-25,4
2010-10-02,4
2010-10-09,3
2010-10-16,3
2010-10-23,4
2010-10-30,3
2010-11-06,4
2010-11-13,3
2010-11-20,3
2010-11-27,3
2010-12-04,3
2010-12-11,4
2010-12-18,3
2010-12-25,2
2011-01-01,3
2011-01-08,3
2011-01-15,5
2011-01-22,4
2011-01-29,4
2011-02-05,4
2011-02-12,4
2011-02-19,4
2011-02-26,5
2011-03-05,4
