date,query
2004-01-10,0
2004-01-17,0
2004-01-24,0
2004-01-31,0
2004-02-07,72
2004-02-14,0
2004-02-21,0
2004-02-28,0
2004-03-06,0
2004-03-13,0
2004-03-20,0
2004-03-27,0
2004-04-03,0
2004-04-10,0
2004-04-17,0
2004-04-24,0
2004-05-01,0
2004-05-08,46
2004-05-15,93
2004-05-22,64
2004-05-29,74
2004-06-05,50
2004-06-12,50
2004-06-19,50
2004-06-26,46
2004-07-03,46
2004-07-10,0
2004-07-17,0
2004-07-24,0
2004-07-31,0
2004-08-07,0
2004-08-14,0
2004-08-21,0
2004-08-28,0
2004-09-04,42
2004-09-11,45
2004-09-18,38
2004-09-25,38
2004-10-02,50
2004-10-09,62
2004-10-16,53
2004-10-23,53
2004-10-30,49
2004-11-06,49
2004-11-13,45
2004-11-20,45
2004-11-27,46
2004-12-04,34
2004-12-11,34
2004-12-18,34
2004-12-25,39
2005-01-01,43
2005-01-08,47
2005-01-15,40
2005-01-22,42
2005-01-29,39
2005-02-05,41
2005-02-12,43
2005-02-19,45
2005-02-26,46
2005-03-05,40
2005-03-12,32
2005-03-19,34
2005-03-26,35
2005-04-02,37
2005-04-09,38
2005-04-16,40
2005-04-23,31
2005-04-30,48
2005-05-07,36
2005-05-14,41
2005-05-21,41
2005-05-28,59
2005-06-04,40
2005-06-11,44
2005-06-18,40
2005-06-25,30
2005-07-02,35
2005-07-09,31
2005-07-16,30
2005-07-23,43
2005-07-30,0
2005-08-06,0
2005-08-13,0
2005-08-20,0
2005-08-27,0
2005-09-03,43
2005-09-10,58
2005-09-17,100
2005-09-24,60
2005-10-01,44
2005-10-08,36
2005-10-15,36
2005-10-22,51
2005-10-29,66
2005-11-05,48
2005-11-12,54
2005-11-19,66
2005-11-26,66
2005-12-03,42
2005-12-10,40
2005-12-17,43
2005-12-24,23
2005-12-31,23
2006-01-07,23
2006-01-14,32
2006-01-21,30
2006-01-28,34
2006-02-04,33
2006-02-11,25
2006-02-18,23
2006-02-25,42
2006-03-04,32
2006-03-11,34
2006-03-18,42
2006-03-25,19
2006-04-01,30
2006-04-08,25
2006-04-15,40
2006-04-22,34
2006-04-29,34
2006-05-06,38
2006-05-13,47
2006-05-20,43
2006-05-27,35
2006-06-03,22
2006-06-10,23
2006-06-17,25
2006-06-24,31
2006-07-01,28
2006-07-08,19
2006-07-15,19
2006-07-22,19
2006-07-29,19
2006-08-05,19
2006-08-12,20
2006-08-19,20
2006-08-26,21
2006-09-02,19
2006-09-09,31
2006-09-16,17
2006-09-23,22
2006-09-30,26
2006-10-07,26
2006-10-14,26
2006-10-21,19
2006-10-28,34
2006-11-04,31
2006-11-11,19
2006-11-18,23
2006-11-25,28
2006-12-02,19
2006-12-09,23
2006-12-16,30
2006-12-23,29
2006-12-30,18
2007-01-06,18
2007-01-13,32
2007-01-20,23
2007-01-27,33
2007-02-03,21
2007-02-10,14
2007-02-17,19
2007-02-24,25
2007-03-03,18
2007-03-10,21
2007-03-17,21
2007-03-24,27
2007-03-31,22
2007-04-07,16
2007-04-14,27
2007-04-21,29
2007-04-28,26
2007-05-05,20
2007-05-12,38
2007-05-19,18
2007-05-26,24
2007-06-02,17
2007-06-09,22
2007-06-16,12
2007-06-23,15
2007-06-30,18
2007-07-07,26
2007-07-14,15
2007-07-21,0
2007-07-28,0
2007-08-04,0
2007-08-11,0
2007-08-18,0
2007-08-25,11
2007-09-01,20
2007-09-08,19
2007-09-15,19
2007-09-22,24
2007-09-29,23
2007-10-06,14
2007-10-13,15
2007-10-20,17
2007-10-27,18
2007-11-03,18
2007-11-10,20
2007-11-17,32
2007-11-24,25
2007-12-01,25
2007-12-08,22
2007-12-15,29
2007-12-22,17
2007-12-29,14
2008-01-05,14
2008-01-12,16
2008-01-19,18
2008-01-26,21
2008-02-02,19
2008-02-09,28
2008-02-16,19
2008-02-23,22
2008-03-01,27
2008-03-08,27
2008-03-15,17
2008-03-22,13
2008-03-29,12
2008-04-05,12
2008-04-12,22
2008-04-19,19
2008-04-26,12
2008-05-03,11
2008-05-10,19
2008-05-17,19
2008-05-24,28
2008-05-31,22
2008-06-07,22
2008-06-14,18
2008-06-21,14
2008-06-28,11
2008-07-05,22
2008-07-12,18
2008-07-19,17
2008-07-26,17
2008-08-02,26
2008-08-09,16
2008-08-16,17
2008-08-23,19
2008-08-30,11
2008-09-06,15
2008-09-13,19
2008-09-20,37
2008-09-27,34
2008-10-04,30
2008-10-11,47
2008-10-18,61
2008-10-25,33
2008-11-01,18
2008-11-08,30
2008-11-15,32
2008-11-22,22
