date,query
2004-01-10,0
2004-01-17,0
2004-01-24,0
2004-01-31,0
2004-02-07,0
2004-02-14,0
2004-02-21,76
2004-02-28,0
2004-03-06,0
2004-03-13,0
2004-03-20,0
2004-03-27,0
2004-04-03,0
2004-04-10,0
2004-04-17,0
2004-04-24,0
2004-05-01,0
2004-05-08,0
2004-05-15,73
2004-05-22,69
2004-05-29,69
2004-06-05,66
2004-06-12,66
2004-06-19,66
2004-06-26,0
2004-07-03,0
2004-07-10,0
2004-07-17,0
2004-07-24,0
2004-07-31,0
2004-08-07,0
2004-08-14,0
2004-08-21,0
2004-08-28,0
2004-09-04,0
2004-09-11,0
2004-09-18,67
2004-09-25,59
2004-10-02,59
2004-10-09,59
2004-10-16,59
2004-10-23,59
2004-10-30,54
2004-11-06,54
2004-11-13,56
2004-11-20,58
2004-11-27,61
2004-12-04,60
2004-12-11,0
2004-12-18,0
2004-12-25,0
2005-01-01,0
2005-01-08,0
2005-01-15,0
2005-01-22,52
2005-01-29,66
2005-02-05,81
2005-02-12,50
2005-02-19,75
2005-02-26,100
2005-03-05,71
2005-03-12,72
2005-03-19,44
2005-03-26,0
2005-04-02,0
2005-04-09,0
2005-04-16,0
2005-04-23,0
2005-04-30,0
2005-05-07,0
2005-05-14,42
2005-05-21,59
2005-05-28,71
2005-06-04,41
2005-06-11,63
2005-06-18,45
2005-06-25,42
2005-07-02,42
2005-07-09,53
2005-07-16,52
2005-07-23,0
2005-07-30,0
2005-08-06,0
2005-08-13,0
2005-08-20,0
2005-08-27,0
2005-09-03,0
2005-09-10,56
2005-09-17,49
2005-09-24,55
2005-10-01,45
2005-10-08,0
2005-10-15,0
2005-10-22,0
2005-10-29,0
2005-11-05,0
2005-11-12,70
2005-11-19,44
2005-11-26,65
2005-12-03,37
2005-12-10,47
2005-12-17,59
2005-12-24,34
2005-12-31,34
2006-01-07,34
2006-01-14,42
2006-01-21,50
2006-01-28,39
2006-02-04,39
2006-02-11,33
2006-02-18,37
2006-02-25,42
2006-03-04,46
2006-03-11,40
2006-03-18,46
2006-03-25,44
2006-04-01,35
2006-04-08,42
2006-04-15,33
2006-04-22,33
2006-04-29,33
2006-05-06,42
2006-05-13,50
2006-05-20,41
2006-05-27,33
2006-06-03,33
2006-06-10,33
2006-06-17,34
2006-06-24,34
2006-07-01,35
2006-07-08,27
2006-07-15,27
2006-07-22,27
2006-07-29,27
2006-08-05,26
2006-08-12,26
2006-08-19,26
2006-08-26,26
2006-09-02,27
2006-09-09,31
2006-09-16,36
2006-09-23,40
2006-09-30,28
2006-10-07,29
2006-10-14,44
2006-10-21,27
2006-10-28,42
2006-11-04,46
2006-11-11,38
2006-11-18,45
2006-11-25,26
2006-12-02,41
2006-12-09,37
2006-12-16,33
2006-12-23,34
2006-12-30,36
2007-01-06,37
2007-01-13,39
2007-01-20,37
2007-01-27,32
2007-02-03,33
2007-02-10,27
2007-02-17,36
2007-02-24,30
2007-03-03,38
2007-03-10,41
2007-03-17,22
2007-03-24,23
2007-03-31,37
2007-04-07,29
2007-04-14,20
2007-04-21,31
2007-04-28,45
2007-05-05,19
2007-05-12,55
2007-05-19,42
2007-05-26,20
2007-06-02,27
2007-06-09,30
2007-06-16,19
2007-06-23,19
2007-06-30,27
2007-07-07,29
2007-07-14,21
2007-07-21,25
2007-07-28,25
2007-08-04,19
2007-08-11,24
2007-08-18,23
2007-08-25,23
2007-09-01,18
2007-09-08,30
2007-09-15,24
2007-09-22,19
2007-09-29,23
2007-10-06,25
2007-10-13,25
2007-10-20,25
2007-10-27,20
2007-11-03,19
2007-11-10,38
2007-11-17,32
2007-11-24,27
2007-12-01,36
2007-12-08,34
2007-12-15,25
2007-12-22,24
2007-12-29,26
2008-01-05,29
2008-01-12,20
2008-01-19,21
2008-01-26,43
2008-02-02,37
2008-02-09,48
2008-02-16,20
2008-02-23,36
2008-03-01,22
2008-03-08,29
2008-03-15,33
2008-03-22,15
2008-03-29,18
2008-04-05,24
2008-04-12,26
2008-04-19,33
2008-04-26,31
2008-05-03,18
2008-05-10,20
2008-05-17,33
2008-05-24,22
2008-05-31,35
2008-06-07,44
2008-06-14,37
2008-06-21,25
2008-06-28,26
2008-07-05,31
2008-07-12,37
2008-07-19,16
2008-07-26,22
2008-08-02,40
2008-08-09,24
2008-08-16,18
2008-08-23,19
2008-08-30,20
2008-09-06,22
2008-09-13,25
2008-09-20,28
2008-09-27,40
2008-10-04,39
2008-10-11,38
2008-10-18,45
2008-10-25,19
2008-11-01,29
2008-11-08,37
2008-11-15,27
2008-11-22,25
